Model,Dilution,Vmax,Km,Ks,Ki,SSres,SStot,P,n,Rsq,Fstat,pval
WI,1,1.092647744,24.45254367,NA,NA,174.0181431,487.5041667,2,108,0.643042757,NA,NA
SI,1,1.528817446,36.19928677,500,NA,203.3077718,487.5041667,3,108,0.582961981,-15.12687383,1
NCI,1,22.43581364,500,NA,51.5755364,173.1015745,487.5041667,3,108,0.644922882,0.555972434,0.457553536
CI,1,22.44339122,500,NA,51.44304217,173.045519,487.5041667,3,108,0.645037867,0.590165703,0.444079381
UCI,1,22.3211079,500,NA,25.86739923,174.1254666,487.5041667,3,108,0.642822608,-0.06471753,1
WI,2,0.633905063,44.39493671,NA,NA,118.3561253,487.5041667,2,108,0.757220279,NA,NA
SI,2,0.889933489,65.43025401,500,NA,137.5215126,487.5041667,3,108,0.717907001,-14.63309719,1
NCI,2,7.182847875,500,NA,96.49742988,118.008911,487.5041667,3,108,0.757932508,0.308938579,0.579514692
CI,2,7.183818662,500,NA,96.37610527,117.9997294,487.5041667,3,108,0.757951342,0.317132716,0.574536475
UCI,2,7.171197129,500,NA,48.28309713,118.363489,487.5041667,3,108,0.757205175,-0.006532245,1
WI,4,0.229338132,22.02387034,NA,NA,131.5699641,487.5041667,2,108,0.730115201,NA,NA
SI,4,0.316086592,32.50772477,500,NA,159.0478264,487.5041667,3,108,0.673750837,-18.14030161,1
NCI,4,5.212085581,500,NA,46.13888768,131.3877687,487.5041667,3,108,0.730488932,0.145603455,0.703543859
CI,4,5.212616428,500,NA,46.1084634,131.3642205,487.5041667,3,108,0.730537236,0.16445178,0.685915642
UCI,4,5.20471197,500,NA,23.08417615,131.6167846,487.5041667,3,108,0.73001916,-0.037352003,1
